group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_circle_zero_area,,,,1596300.0,ns,38
Zero Area Checks,any_circle_zero_area,,,,3279800.0,ns,76
Zero Area Checks,any_circle_zero_area,,,,4773600.0,ns,114
Zero Area Checks,any_circle_zero_area,,,,7358300.0,ns,152
Zero Area Checks,any_circle_zero_area,,,,8521900.0,ns,190
Zero Area Checks,any_circle_zero_area,,,,9568000.0,ns,228
Zero Area Checks,any_circle_zero_area,,,,11076100.0,ns,266
Zero Area Checks,any_circle_zero_area,,,,12735400.0,ns,304
Zero Area Checks,any_circle_zero_area,,,,15689700.0,ns,342
Zero Area Checks,any_circle_zero_area,,,,16758600.0,ns,380
Zero Area Checks,any_circle_zero_area,,,,17537700.0,ns,418
Zero Area Checks,any_circle_zero_area,,,,19581100.0,ns,456
Zero Area Checks,any_circle_zero_area,,,,20919000.0,ns,494
Zero Area Checks,any_circle_zero_area,,,,22541200.0,ns,532
Zero Area Checks,any_circle_zero_area,,,,24567700.0,ns,570
Zero Area Checks,any_circle_zero_area,,,,25975900.0,ns,608
Zero Area Checks,any_circle_zero_area,,,,27220800.0,ns,646
Zero Area Checks,any_circle_zero_area,,,,29655500.0,ns,684
Zero Area Checks,any_circle_zero_area,,,,30376400.0,ns,722
Zero Area Checks,any_circle_zero_area,,,,32180400.0,ns,760
Zero Area Checks,any_circle_zero_area,,,,33747000.0,ns,798
Zero Area Checks,any_circle_zero_area,,,,36517400.0,ns,836
Zero Area Checks,any_circle_zero_area,,,,36994600.0,ns,874
Zero Area Checks,any_circle_zero_area,,,,38594500.0,ns,912
Zero Area Checks,any_circle_zero_area,,,,40821000.0,ns,950
Zero Area Checks,any_circle_zero_area,,,,43028000.0,ns,988
Zero Area Checks,any_circle_zero_area,,,,36922100.0,ns,1026
Zero Area Checks,any_circle_zero_area,,,,45563800.0,ns,1064
Zero Area Checks,any_circle_zero_area,,,,46740700.0,ns,1102
Zero Area Checks,any_circle_zero_area,,,,51708800.0,ns,1140
Zero Area Checks,any_circle_zero_area,,,,50243000.0,ns,1178
Zero Area Checks,any_circle_zero_area,,,,82675300.0,ns,1216
Zero Area Checks,any_circle_zero_area,,,,53767400.0,ns,1254
Zero Area Checks,any_circle_zero_area,,,,56125000.0,ns,1292
Zero Area Checks,any_circle_zero_area,,,,55510200.0,ns,1330
Zero Area Checks,any_circle_zero_area,,,,57641300.0,ns,1368
Zero Area Checks,any_circle_zero_area,,,,58012200.0,ns,1406
Zero Area Checks,any_circle_zero_area,,,,61538600.0,ns,1444
Zero Area Checks,any_circle_zero_area,,,,62272900.0,ns,1482
Zero Area Checks,any_circle_zero_area,,,,62920500.0,ns,1520
Zero Area Checks,any_circle_zero_area,,,,79674800.0,ns,1558
Zero Area Checks,any_circle_zero_area,,,,57801500.0,ns,1596
Zero Area Checks,any_circle_zero_area,,,,69915700.0,ns,1634
Zero Area Checks,any_circle_zero_area,,,,110122800.0,ns,1672
Zero Area Checks,any_circle_zero_area,,,,90088400.0,ns,1710
Zero Area Checks,any_circle_zero_area,,,,83642400.0,ns,1748
Zero Area Checks,any_circle_zero_area,,,,80070400.0,ns,1786
Zero Area Checks,any_circle_zero_area,,,,80410900.0,ns,1824
Zero Area Checks,any_circle_zero_area,,,,78659100.0,ns,1862
Zero Area Checks,any_circle_zero_area,,,,79124500.0,ns,1900
Zero Area Checks,any_circle_zero_area,,,,81710900.0,ns,1938
Zero Area Checks,any_circle_zero_area,,,,82325500.0,ns,1976
Zero Area Checks,any_circle_zero_area,,,,84431200.0,ns,2014
Zero Area Checks,any_circle_zero_area,,,,81913400.0,ns,2052
Zero Area Checks,any_circle_zero_area,,,,89651800.0,ns,2090
Zero Area Checks,any_circle_zero_area,,,,88501200.0,ns,2128
Zero Area Checks,any_circle_zero_area,,,,92100700.0,ns,2166
Zero Area Checks,any_circle_zero_area,,,,94302600.0,ns,2204
Zero Area Checks,any_circle_zero_area,,,,99376600.0,ns,2242
Zero Area Checks,any_circle_zero_area,,,,95751700.0,ns,2280
Zero Area Checks,any_circle_zero_area,,,,96524800.0,ns,2318
Zero Area Checks,any_circle_zero_area,,,,99745000.0,ns,2356
Zero Area Checks,any_circle_zero_area,,,,99432900.0,ns,2394
Zero Area Checks,any_circle_zero_area,,,,98777300.0,ns,2432
Zero Area Checks,any_circle_zero_area,,,,104178000.0,ns,2470
Zero Area Checks,any_circle_zero_area,,,,108357800.0,ns,2508
Zero Area Checks,any_circle_zero_area,,,,107162300.0,ns,2546
Zero Area Checks,any_circle_zero_area,,,,115468200.0,ns,2584
Zero Area Checks,any_circle_zero_area,,,,120923500.0,ns,2622
Zero Area Checks,any_circle_zero_area,,,,111878400.0,ns,2660
Zero Area Checks,any_circle_zero_area,,,,114747400.0,ns,2698
Zero Area Checks,any_circle_zero_area,,,,116764700.0,ns,2736
Zero Area Checks,any_circle_zero_area,,,,120334700.0,ns,2774
Zero Area Checks,any_circle_zero_area,,,,120963000.0,ns,2812
Zero Area Checks,any_circle_zero_area,,,,121916500.0,ns,2850
Zero Area Checks,any_circle_zero_area,,,,122041900.0,ns,2888
Zero Area Checks,any_circle_zero_area,,,,123249300.0,ns,2926
Zero Area Checks,any_circle_zero_area,,,,126697800.0,ns,2964
Zero Area Checks,any_circle_zero_area,,,,127577700.0,ns,3002
Zero Area Checks,any_circle_zero_area,,,,129302800.0,ns,3040
Zero Area Checks,any_circle_zero_area,,,,132586700.0,ns,3078
Zero Area Checks,any_circle_zero_area,,,,130532900.0,ns,3116
Zero Area Checks,any_circle_zero_area,,,,133776200.0,ns,3154
Zero Area Checks,any_circle_zero_area,,,,140308900.0,ns,3192
Zero Area Checks,any_circle_zero_area,,,,137974900.0,ns,3230
Zero Area Checks,any_circle_zero_area,,,,137694300.0,ns,3268
Zero Area Checks,any_circle_zero_area,,,,138716500.0,ns,3306
Zero Area Checks,any_circle_zero_area,,,,151376900.0,ns,3344
Zero Area Checks,any_circle_zero_area,,,,146653800.0,ns,3382
Zero Area Checks,any_circle_zero_area,,,,149721700.0,ns,3420
Zero Area Checks,any_circle_zero_area,,,,147211300.0,ns,3458
Zero Area Checks,any_circle_zero_area,,,,149944500.0,ns,3496
Zero Area Checks,any_circle_zero_area,,,,147677700.0,ns,3534
Zero Area Checks,any_circle_zero_area,,,,134545400.0,ns,3572
Zero Area Checks,any_circle_zero_area,,,,155709500.0,ns,3610
Zero Area Checks,any_circle_zero_area,,,,155106200.0,ns,3648
Zero Area Checks,any_circle_zero_area,,,,156323100.0,ns,3686
Zero Area Checks,any_circle_zero_area,,,,164999900.0,ns,3724
