group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zero Area Checks,any_shape_zero_area,,,,1097700.0,ns,35
Zero Area Checks,any_shape_zero_area,,,,1930900.0,ns,70
Zero Area Checks,any_shape_zero_area,,,,3017400.0,ns,105
Zero Area Checks,any_shape_zero_area,,,,4943400.0,ns,140
Zero Area Checks,any_shape_zero_area,,,,5244700.0,ns,175
Zero Area Checks,any_shape_zero_area,,,,5906600.0,ns,210
Zero Area Checks,any_shape_zero_area,,,,7181500.0,ns,245
Zero Area Checks,any_shape_zero_area,,,,8139000.0,ns,280
Zero Area Checks,any_shape_zero_area,,,,9379800.0,ns,315
Zero Area Checks,any_shape_zero_area,,,,10042400.0,ns,350
Zero Area Checks,any_shape_zero_area,,,,10394000.0,ns,385
Zero Area Checks,any_shape_zero_area,,,,11341700.0,ns,420
Zero Area Checks,any_shape_zero_area,,,,13436600.0,ns,455
Zero Area Checks,any_shape_zero_area,,,,13640200.0,ns,490
Zero Area Checks,any_shape_zero_area,,,,14432800.0,ns,525
Zero Area Checks,any_shape_zero_area,,,,15592400.0,ns,560
Zero Area Checks,any_shape_zero_area,,,,18498700.0,ns,595
Zero Area Checks,any_shape_zero_area,,,,19849000.0,ns,630
Zero Area Checks,any_shape_zero_area,,,,19493100.0,ns,665
Zero Area Checks,any_shape_zero_area,,,,20350000.0,ns,700
Zero Area Checks,any_shape_zero_area,,,,20220400.0,ns,735
Zero Area Checks,any_shape_zero_area,,,,22653700.0,ns,770
Zero Area Checks,any_shape_zero_area,,,,22021500.0,ns,805
Zero Area Checks,any_shape_zero_area,,,,22587000.0,ns,840
Zero Area Checks,any_shape_zero_area,,,,25254000.0,ns,875
Zero Area Checks,any_shape_zero_area,,,,25573800.0,ns,910
Zero Area Checks,any_shape_zero_area,,,,25772100.0,ns,945
Zero Area Checks,any_shape_zero_area,,,,28779900.0,ns,980
Zero Area Checks,any_shape_zero_area,,,,34402200.0,ns,1015
Zero Area Checks,any_shape_zero_area,,,,29053500.0,ns,1050
Zero Area Checks,any_shape_zero_area,,,,31627800.0,ns,1085
Zero Area Checks,any_shape_zero_area,,,,30956000.0,ns,1120
Zero Area Checks,any_shape_zero_area,,,,33161700.0,ns,1155
Zero Area Checks,any_shape_zero_area,,,,33415500.0,ns,1190
Zero Area Checks,any_shape_zero_area,,,,33308200.0,ns,1225
Zero Area Checks,any_shape_zero_area,,,,36674600.0,ns,1260
Zero Area Checks,any_shape_zero_area,,,,36268900.0,ns,1295
Zero Area Checks,any_shape_zero_area,,,,36325500.0,ns,1330
Zero Area Checks,any_shape_zero_area,,,,40385500.0,ns,1365
Zero Area Checks,any_shape_zero_area,,,,39715900.0,ns,1400
Zero Area Checks,any_shape_zero_area,,,,39669900.0,ns,1435
